Region and state|No. of clinics 2014|No. of clinics 2017|% change 2014-2017|% of counties without a clinic, 2017|% of women in counties with no clinic, 2017
U.S. total|789|808|2|89|38
Northeast|212|245|16|54|21
Connecticut|25|26|4|13|5
Maine|4|16|300|31|24
Massachusetts|14|19|36|43|13
New Hampshire|4|4|0|60|30
New Jersey|41|41|0|33|26
New York|95|113|19|39|8
Pennsylvania|20|18|-10|85|48
Rhode Island|3|2|-33|60|22
Vermont|6|6|0|64|38
Midwest|97|91|-6|95|54
Illinois|24|25|4|90|37
Indiana|9|6|-33|96|70
Iowa|12|8|-33|93|58
Kansas|4|4|0|98|61
Michigan|20|21|5|87|35
Minnesota|6|7|17|97|61
Missouri|1|3|200|97|78
Nebraska|3|3|0|97|40
North Dakota|1|1|0|98|72
Ohio|12|9|-25|93|55
South Dakota|1|1|0|98|76
Wisconsin|4|3|-25|97|70
South|214|195|-9|94|51
Alabama|5|5|0|93|59
Arkansas|3|3|0|97|77
Delaware|3|4|33|33|18
District of Columbia|5|4|-20|0|0
Florida|71|65|-8|73|24
Georgia|17|15|-12|95|55
Kentucky|2|1|-50|99|82
Louisiana|5|4|-20|94|72
Maryland|25|25|0|71|29
Mississippi|1|1|0|99|91
North Carolina|16|14|-13|91|53
Oklahoma|3|4|33|96|53
South Carolina|3|4|33|93|71
Tennessee|7|8|14|96|63
Texas|28|21|-25|96|43
Virginia|18|16|-11|93|80
West Virginia|2|1|-50|98|90
West|266|277|4|79|15
Alaska|3|4|33|86|32
Arizona|9|8|-11|80|18
California|152|161|6|40|3
Colorado|21|18|-14|80|27
Hawaii|4|4|0|40|5
Idaho|3|3|0|95|67
Montana|5|5|0|93|56
Nevada|8|7|-13|88|9
New Mexico|9|6|-33|91|48
Oregon|15|16|7|78|23
Utah|2|3|50|97|63
Washington|33|40|21|59|10
Wyoming*|2|2|0|96|96
