Unnamed|Facilities No. 2014|Facilities No. 2017|Facilities % 2014|Facilities % 2017|Abortions No. 2014|Abortions No. 2017|Abortions % 2014|Abortions % 2017
Facility type|Total|1,671|1,587|100|100|926,190|862,320|100|100
Facility type|Hospital|638|518|38|33|34,410|28,760|4|3
Facility type|Abortion clinic|272|253|16|16|547,130|519,180|59|60
Facility type|Nonspecialized clinic|517|555|31|35|331,790|302,860|36|35
Facility type|Physicians' office|244|261|15|16|12,870|11,510|1|1
Facility caseload|"1-29"|659|609|39|38|5,900|5,310|1|1
Facility caseload|"30-399"|477|474|29|30|72,020|75,280|8|9
Facility caseload|"400-999"|247|230|15|14|160,720|148,140|17|17
Facility caseload|"1,000-4,999"|269|255|16|16|561,120|499,010|61|58
Facility caseload|">=5,000"|19|19|1|1|126,440|134,580|14|16
