Region and State|No. 2014|No. 2016|No. 2017|Rate 2014|Rate 2016|Rate 2017|% change 2014-2017
U.S. total|926,190|874,080|862,320|14.6|13.7|13.5|-8
Northeast|240,320|232,040|224,310|21.8|21.2|20.5|-6
Connecticut|13,140|12,210|11,910|19.2|18.1|17.7|-8
Maine|2,220|2,060|2,040|9.5|8.9|8.8|-7
Massachusetts|21,020|19,200|18,590|15.3|14.0|13.5|-12
New Hampshire|2,540|2,310|2,210|10.4|9.6|9.2|-12
New Jersey|44,460|48,300|48,110|25.8|28.2|28.0|9
New York|119,940|110,840|105,380|29.6|27.6|26.3|-11
Pennsylvania|32,030|32,230|31,260|13.3|13.5|13.1|-1
Rhode Island|3,580|3,510|3,500|17.0|16.8|16.7|-2
Vermont|1,400|1,360|1,300|12.1|12.0|11.4|-5
Midwest|138,940|133,410|133,120|10.6|10.2|10.2|-4
Illinois|42,270|41,740|42,080|16.3|16.4|16.6|2
Indiana|8,180|7,630|7,710|6.3|5.9|5.9|-6
Iowa|4,380|4,250|3,760|7.5|7.2|6.3|-15
Kansas|7,240|6,820|6,830|12.9|12.2|12.2|-5
Michigan|29,120|27,280|26,630|15.4|14.6|14.2|-8
Minnesota|9,760|10,150|10,740|9.3|9.6|10.1|9
Missouri|5,130|5,290|4,710|4.4|4.5|4.0|-8
Nebraska|2,280|1,950|2,020|6.3|5.3|5.5|-13
North Dakota|1,260|1,150|1,160|8.7|7.9|7.9|-9
Ohio|22,730|20,520|20,630|10.3|9.3|9.4|-9
South Dakota|550|470|500|3.5|3.0|3.1|-10
Wisconsin|6,050|6,170|6,360|5.6|5.7|5.9|6
South|308,060|289,730|295,290|12.9|11.9|12.1|-6
Alabama|8,020|6,630|6,110|8.3|7.0|6.4|-23
Arkansas|4,590|3,300|3,200|8.0|5.7|5.5|-30
Delaware|3,010|2,240|1,900|16.7|12.5|10.5|-37
District of Columbia|5,820|1,910|5,630|32.7|10.4|30.2|-8
Florida|75,990|70,130|71,050|20.6|18.5|18.6|-10
Georgia|33,000|34,870|36,330|15.7|16.4|16.9|8
Kentucky|3,530|3,280|3,200|4.1|3.9|3.8|-9
Louisiana|10,150|10,500|9,920|10.8|11.2|10.6|-2
Maryland|28,140|30,190|29,800|23.4|25.3|25.0|7
Mississippi|2,290|2,510|2,550|3.8|4.2|4.3|13
North Carolina|29,960|26,990|29,500|15.1|13.5|14.6|-3
Oklahoma|5,330|4,380|4,780|7.0|5.7|6.2|-11
South Carolina|6,040|5,730|5,120|6.4|6.0|5.3|-17
Tennessee|13,880|11,990|12,140|10.7|9.2|9.2|-14
Texas|55,230|53,780|55,440|9.8|9.2|9.4|-3
Virginia|21,080|19,590|17,210|12.5|11.7|10.2|-18
West Virginia|2,020|1,700|1,430|6.0|5.2|4.4|-26
West|238,860|218,900|209,600|15.6|14.2|13.5|-14
Alaska|1,470|1,260|1,260|10.0|8.6|8.6|-14
Arizona|12,870|13,330|12,400|9.8|10.0|9.2|-6
California|157,350|140,700|132,680|19.5|17.4|16.4|-16
Colorado|13,160|12,380|12,390|12.1|11.1|10.9|-10
Hawaii|3,760|3,100|3,200|14.0|11.6|12.0|-14
Idaho|1,320|1,270|1,290|4.2|3.9|3.9|-6
Montana|1,690|1,630|1,580|9.1|8.7|8.3|-9
Nevada|10,970|9,540|9,690|19.4|16.5|16.4|-15
New Mexico|4,650|5,350|4,620|11.7|13.5|11.7|0
Oregon|9,330|9,850|9,640|12.0|12.3|11.9|-1
Utah|2,960|3,030|2,990|4.6|4.6|4.4|-4
Washington|19,230|17,350|17,740|13.7|12.1|12.1|-12
Wyoming|120|110|140|1.1|1.0|1.3|22
