,,,,
data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov
"Selected Filters: 2022-2023 / M.D., Obstetrics and Gynecology (County Level File) / Population, All (County Level File)",,,,
State/Territory,"M.D., Obstetrics and Gynecology (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
Alabama,511,5039877,10.14,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Alaska,94,732673,12.83,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Arizona,732,7276316,10.06,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Arkansas,260,3025891,8.59,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
California,4933,39237836,12.57,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Colorado,751,5812069,12.92,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Connecticut,677,3605597,18.78,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Delaware,115,1003384,11.46,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
District of Columbia,220,670050,32.83,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Florida,2403,21781128,11.03,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Georgia,1365,10799566,12.64,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Guam,9,168801,5.33,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Hawaii,237,1441553,16.44,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Idaho,138,1900923,7.26,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Illinois,1698,12671469,13.40,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Indiana,671,6805985,9.86,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Iowa,224,3193079,7.02,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Kansas,296,2934582,10.09,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Kentucky,458,4509394,10.16,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Louisiana,720,4624047,15.57,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Maine,160,1372247,11.66,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Maryland,1010,6165129,16.38,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Massachusetts,1059,6984723,15.16,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Michigan,1240,10050811,12.34,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Minnesota,691,5707390,12.11,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Mississippi,305,2949965,10.34,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Missouri,721,6168187,11.69,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Montana,107,1104271,9.69,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Nebraska,219,1963692,11.15,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Nevada,290,3143991,9.22,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
New Hampshire,173,1388992,12.46,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
New Jersey,1267,9267130,13.67,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
New Mexico,226,2115877,10.68,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
New York,3260,19835913,16.43,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
North Carolina,1313,10551162,12.44,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
North Dakota,77,774948,9.94,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Ohio,1357,11780017,11.52,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Oklahoma,307,3986639,7.70,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Oregon,562,4246155,13.24,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Pennsylvania,1581,12964056,12.20,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Puerto Rico,419,3263584,12.84,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Rhode Island,192,1095610,17.52,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
South Carolina,609,5190705,11.73,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
South Dakota,84,895376,9.38,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Tennessee,823,6975218,11.80,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Texas,3325,29527941,11.26,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
U.S. Virgin Islands,17,,,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Utah,314,3337975,9.41,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Vermont,101,645570,15.65,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Virginia,1110,8642274,12.84,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Washington,781,7738692,10.09,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
West Virginia,181,1782959,10.15,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Wisconsin,606,5895908,10.28,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
Wyoming,57,578803,9.85,AMA Physician Masterfile 2021; Census County Pop. Estimates 2021
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
